#,ID,Continent,Continent_detail,Country,Full year ,Date mean in BP,Lat.,Long.,As_Ru_3K_0.9K_BCE,As_Ru_5.8K_3.6K_BCE,As_Ru_37.4K_3K_BCE,As_Ru_E_0.1K_1.4K_CE,C_Af_6K_1K_BCE,C_NW_As_2.2K_1.6K_BCE,C_N_As_BCE,C_N_As_CE,E_Af_2.5KBCE_1.6KCE,E_As_6KBCE_0.25KCE,E_C_Eu_6K_2K_BCE,E_Eu_9K_3K_BCE,E_Eu_CE,E_Eu_Po_3K_2.3K_BCE,M_Am_0.6K_1.7K_CE,M_Am_Cuba_1.4KBCE_1.3KCE,NN_Am_1K_2.0K_CE,N_Am_11.5KBCE_1.2KCE,N_Eu_0.7K_1.7K_CE,Oceania_1KBCE_2KCE,SE_As_6KBCE_0.8KCE,SN_Am_3.5KBCE_1.5KCE,SW_As_8K_1.1K_BCE,SW_C_As_9K_0.8K_BCE,S_Am_CE,S_Eu_5.4K_1K_BCE,S_Eu_16K_5K_BCE,S_Eu_CE,S_M_Am_10K_1.5K_BCE,W_Eu_5.5K_2.5K_BCE,W_Eu_30K_5K_BCE,W_Eu_38K_BCE,W_Eu_CE,W_Eu_GB_4K_2.5K_BCE
9231,I3758,Europe,South Europe,Spain,"373-199 calBCE (2215¡À20 BP, PSUAMS-3466)",2226,42.565,-2.58635,0,0,0,0.0009,0.0003,0.019,0.0916,0.0031,0.0039,0,0,0.0326,0.0074,0.0032,0.0025,0.0049,0,0.0106,0.0429,0,0,0.001,0.0023,0,0,0.2854,0.136,0.3411,0,0.0008,0.0059,0.0006,0,0.0035
9232,I4290,Asia,Central Asia,Tajikistan,3700-3300 BCE,5450,39.50722222,67.46083333,0,0,0,0,0.0008,0.1245,0.0081,0.0301,0.0016,0,0,0,0.0296,0.0028,0,0.0017,0,0,0,0,0,0,0,0.7915,0,0,0,0,0,0,0,0.002,0.0062,0
9233,I4780,Asia,Central Asia,Kazakhstan,"1862-1624 calBCE (3410¡À20 BP, PSUAMS-2913)",3649,48.74175,76.99573333,0.0353,0.0358,0,0,0,0.3245,0.4194,0,0,0.0093,0,0,0.0169,0,0,0,0,0,0,0,0.0243,0.0051,0.0232,0.0971,0,0.0012,0,0,0.0077,0,0,0,0,0
9235,I6194,Asia,South Asia,Pakistan,1200-800 BCE,2950,34.74319444,72.31421667,0.0222,0.002,0,0.0018,0,0.0517,0.0657,0,0.0081,0,0.0059,0,0,0,0.0021,0,0,0,0,0,0.091,0,0.0102,0.7137,0,0,0.0176,0,0.0014,0,0.0027,0,0,0.002
9236,I6197,Asia,South Asia,Pakistan,1200-800 BCE,2950,34.74319444,72.31421667,0.0065,0,0.0017,0,0.0005,0.0457,0.0549,0.019,0.0047,0.0271,0.0052,0.0154,0.0186,0.0003,0,0.0026,0.0043,0,0,0.0006,0.0613,0,0,0.6783,0,0.001,0.0122,0.0152,0,0,0.0053,0,0.0178,0
9237,I6347,Asia,East Asia,Mongolia,"1414-1280 calBCE (3080¡À20 BP, PSUAMS-3113)",3295,49.306389,95.448611,0,0,0.0031,0.0009,0,0.1605,0.0524,0.0052,0,0.6841,0,0,0.0054,0,0.003,0.0014,0.0078,0.001,0.005,0.0035,0.017,0,0,0.0296,0.0115,0.0045,0.0027,0,0,0,0,0.0007,0,0
9238,I6363,Asia,East Asia,Mongolia,"1215-1055 calBCE (2937¡À17 BP) [R_combine: (2925¡À20 BP, PSUAMS-7280); (2967¡À31 BP, OxA-X-2737-54); (2840¡À70 BP, Le-7979)]",3095,45.35,90.85,0,0.0023,0.0083,0,0,0.1143,0.3212,0.0198,0.0042,0.235,0.0412,0.0338,0.0713,0,0.0029,0.0054,0.0189,0.0009,0.0063,0.0044,0.0318,0.0028,0,0.0509,0,0,0.0023,0,0,0,0.0057,0,0.0159,0
9239,I6365,Asia,East Asia,Mongolia,"809-779 calBCE (2610¡À20 BP, PSUAMS-7282)",2744,49.656,99.927,0,0.0003,0,0.0336,0,0.0228,0,0,0.0039,0.8275,0,0.0014,0,0,0,0,0,0.0016,0.0007,0.0009,0.0988,0,0,0,0,0,0.001,0,0.0056,0,0,0.0005,0,0
9240,I6367,Asia,East Asia,Mongolia,"1259-1056 calBCE (2955¡À20 BP, PSUAMS-7284)",3116,48.3,89.5,0,0,0.0021,0,0,0.0937,0.2719,0.021,0,0.2555,0.0227,0.0171,0.0632,0.0059,0,0.0112,0,0,0.0119,0,0.0786,0.0047,0.0339,0.0409,0,0,0.0167,0.0125,0,0,0,0.0004,0.0318,0.0038
9241,I6369,Asia,East Asia,Mongolia,"752-417 calBCE (2455¡À20 BP, PSUAMS-3114)",2554,47.381667,110.316944,0,0,0.0022,0.0085,0.0009,0.0522,0.0194,0.0001,0,0.7455,0.0072,0,0.002,0,0.0038,0,0.0029,0,0,0.0056,0.0969,0,0,0.0416,0,0,0,0.0024,0,0,0.0033,0.0008,0.0042,0
